"Value: 1  ---- combinations: 1"
"Value: 2  ---- combinations: 2"
"Value: 3  ---- combinations: 2"
"Value: 4  ---- combinations: 3"
"Value: 5  ---- combinations: 4"
"Value: 6  ---- combinations: 5"
"Value: 7  ---- combinations: 6"
"Value: 8  ---- combinations: 7"
"Value: 9  ---- combinations: 8"
"Value: 10  ---- combinations: 11"
"Value: 11  ---- combinations: 12"
"Value: 12  ---- combinations: 15"
"Value: 13  ---- combinations: 16"
"Value: 14  ---- combinations: 19"
"Value: 15  ---- combinations: 22"
"Value: 16  ---- combinations: 25"
"Value: 17  ---- combinations: 28"
"Value: 18  ---- combinations: 31"
"Value: 19  ---- combinations: 34"
"Value: 20  ---- combinations: 41"
